split_1,split_2,path_1_bw,delay_1,loss_1,path_2_bw,delay_2,loss_2
90,10,3.7,64.0,0.3,3.5,85.0,0.8
90,10,3.5,73.0,0.1,4.1,61.0,0.0
90,10,4.1,84.0,0.7,3.7,60.0,0.2
90,10,3.2,72.0,0.8,3.7,67.0,0.4
90,10,3.4,52.0,0.6,3.9,55.0,1.0
90,10,3.3,78.0,0.9,3.5,70.0,0.1
90,10,3.5,82.0,0.6,3.3,74.0,0.0
90,10,4.9,79.0,0.2,3.1,76.0,0.3
90,10,3.7,70.0,0.4,3.9,53.0,1.0
90,10,4.9,72.0,1.0,3.6,79.0,0.6
90,10,4.3,65.0,0.8,4.1,85.0,0.7
90,10,3.4,80.0,1.0,4.8,63.0,0.2
90,10,4.9,55.0,0.2,4.1,61.0,1.0
90,10,3.6,85.0,0.3,3.6,84.0,0.2
90,10,3.9,77.0,0.3,3.2,74.0,0.7
90,10,3.8,64.0,0.9,3.8,78.0,1.0
90,10,4.2,74.0,0.9,4.3,78.0,0.4
90,10,4.7,73.0,0.8,3.3,63.0,0.4
90,10,4.0,68.0,0.5,5.0,66.0,0.7
90,10,5.0,70.0,0.1,4.8,69.0,0.9
90,10,4.7,63.0,0.4,3.8,73.0,0.2
90,10,4.8,74.0,0.7,3.4,59.0,0.9
90,10,3.3,62.0,1.0,4.8,51.0,0.7
90,10,3.9,85.0,1.0,4.9,80.0,0.2
90,10,3.6,84.0,0.3,3.2,52.0,0.0
90,10,3.2,66.0,1.0,3.3,54.0,0.1
90,10,4.0,66.0,0.1,3.1,81.0,1.0
90,10,3.1,73.0,0.9,3.2,61.0,0.3
90,10,5.0,76.0,0.7,4.0,70.0,0.0
90,10,3.2,58.0,0.1,3.6,55.0,0.0
90,10,4.8,68.0,0.4,4.2,85.0,0.8
90,10,4.0,69.0,0.7,3.6,68.0,0.2
90,10,3.1,50.0,0.1,4.1,81.0,0.9
90,10,3.5,82.0,0.8,4.0,83.0,0.1
90,10,4.9,66.0,0.6,4.0,64.0,0.8
90,10,3.6,83.0,0.4,3.5,61.0,0.1
90,10,3.3,57.0,0.0,4.7,64.0,0.8
90,10,4.6,78.0,0.0,4.9,72.0,0.4
90,10,4.7,66.0,0.9,4.1,55.0,0.5
90,10,3.8,57.0,0.6,3.5,83.0,1.0
90,10,3.3,66.0,0.0,3.6,65.0,0.6
90,10,5.0,55.0,0.6,4.3,70.0,1.0
